Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks,Industry/ Vertical,Sub-Vertical,Invest-mentType,Date,Industry/Vertical,City,Investor Name,Investment Type,Amount(in USD),Unnamed: 0,Founding Date,Founders,Investors,Investment Stage,0,1,2,3,4,5,6,7,8,Amount_Cleaned,Date_Parsed,Year,Sector_Standardized,State_Standardized
,,Gobbly,,,,,,,,A contactless retail store filled with fruits and veggies,,,Retail Tech,Gurugram,,,"$500,000",67.0,,Ooshma Garg,Sauce vc,Seed Round,,,,,,,,,,,,,,
,,Aerostrovilos,,,,,,,,Manufactures micro gas turbines for power-based application,,,Automotive,Chennai,,,Undisclosed,68.0,,"Rohit Grover, Pradeep Thangappan",Mumbai Angels Network,,,,,,,,,,,,,,,
,,Mitron,,,,,,,,Short Video and Social Platform,,,Media,Bangalore,,,"$267,000",69.0,,"Shivank Agarwal, Anish Khandelwal","3One4 Capital, LetsVenture",Seed round,,,,,,,,,,,,,,
,,Bulk MRO,,,,,,,,A full stack B2B platform for industrial supplies,,,B2B,Mumbai,,,"$3,344,000",70.0,2015.0,"Devang Shah, Gaurang Shah",Stride Ventures,,,,,,,,,,,,,,,
,,Inspektlabs,,,,,,,,Focuses on building computer vision products for physical asset inspections,,,AI,Delhi,,,"$600,000",71.0,2019.0,"Devesh Trivedi, Sanchit","Better Capital, Titan Capital",Pre series A,,,,,,,,,,,,,,
,,Big Bang Boom Solutions,,,,,,,,It developed integrated intellectual properties for defense,,,Defense tech,Chennai,,,"$1,000,000",72.0,2018.0,"Praveen Dwarkanath, Dr. Shivaraman Ramaswamy",Mumbai Angels Network,Series A,,,,,,,,,,,,,,
,,Flinto,,,,,,,,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,,,Edtech,Chennai,,,"$7,200,000",73.0,2013.0,"Vijay Babu Gandhi, Shreenidhi Srirangam, Arunprasad Durairaj",Lightbox Ventures,Pre series B,,,,,,,,,,,,,,
,,Zetwerk,,,,,,,,B2B marketplace that connects manufacturing companies for industrial equipements,,,Marketplace,Bangalore,,,"$21,000,000",74.0,2018.0,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",Greenoaks,Series C,,,,,,,,,,,,,,
,,ChitMonks,,,,,,,,Offers enterprise private platform for chit fund firms,,,Fintech,Hyderabad,,,"$650,000",75.0,2016.0,Pavan Adipuram,Unicorn India Ventures,Pre series A,,,,,,,,,,,,,,
,,Rusk Media,,,,,,,,It creates video content,,,Digital Media,Delhi,,,Undisclosed,0.0,2019.0,Mayank Yadav,"InfoEdge Venture Fund, Sprout Venture Partners",Seed Round,,,,,,,,,,,,,,
,,Bold Care,,,,,,,,Digital platform that offers sexologist consultations for  men,,,Health & Wellness,Mumbai,,,Undisclosed,1.0,2019.0,"Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav","Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand",Pre-seed Round,,,,,,,,,,,,,,
,,Samosa Party,,,,,,,,Provides quality Indian Snacks,,,Food,Bangalore,,,Undisclosed,2.0,2017.0,Amit Nanwani,Inflection Point Ventures,,,,,,,,,,,,,,,
,,High Street Essentials,,,,,,,,The parent company of women's fashion brands FabAlley and Indya,,,Ecommerce,New Delhi,,,"$2,743,000",3.0,2012.0,"Shivani Poddar, Tanvi Malik","SAIF Partners, India Quotient",Pre series C,,,,,,,,,,,,,,
,,Byju's,,,,,,,,Provides online learning classes,,,Edtech,Bangalore,,,Undisclosed,4.0,2011.0,Byju Raveendran,BOND,,,,,,,,,,,,,,,
,,Bombay Play,,,,,,,,It designs and creates online multiplayer games,,,Gaming,Bangalore,,,"$1,500,000",5.0,,"Abhas Saroha, Oliver Jones","Leo capital, Ramakant Sharma",Pre series A,,,,,,,,,,,,,,
,,Fullife,,,,,,,,It sells sports nutrition supplements through a brand called Fast&Up,,,Healthtech,Mumbai,,,"$6,609,000",6.0,2011.0,Varun Khanna,Amansa Capital,,,,,,,,,,,,,,,
,,Oziva,,,,,,,,Clean Label Active Nutrition Brand,,,Nutrition,,,,"$5,000,000",7.0,2016.0,"Aarti Gill, Mihir Gadani",Matrix Partners,Series A,,,,,,,,,,,,,,
,,Aye Finance,,,,,,,,A finance lender to SMEs,,,Fintech,Gurugram,,,"$27,700,000",8.0,2014.0,"Vikram Jetley, Sanjay Sharma","Capital G, Alphabet's Independent growth fund",Series E,,,,,,,,,,,,,,
,,Aether Biomedical,,,,,,,,"Medical robotics startup, focussed on developing rehabilitation devices",,,Medtech,Delhi,,,Undisclosed,9.0,2016.0,"Dhruv Agrawal, Faith Jiwakhan",Chiratae Ventures,Seed Investment,,,,,,,,,,,,,,
,,91springboard,,,,,,,,It offers collaborative workspace with varied amenities,,,Coworking,Delhi,,,"$5,940,000",10.0,2012.0,"Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla","Pearl Brook Holdings Ltd, Al Nour International Holdings Co.",,,,,,,,,,,,,,,
,,Yulu,,,,,,,,The electric and scooter rental startup,,,Micro-mobiity,,,,"$3,964,000",11.0,,Amit Gupta,Rocketship,,,,,,,,,,,,,,,
,,MergerDomo,,,,,,,,Global online corporate deal sourcing and consulting marketplace,,,Marketplace,Noida,,,"$197,000",12.0,2018.0,"Hormazd Charna, Manoj Mishra","Nadir Godrej, Individual Investors",,,,,,,,,,,,,,,
,,GoMechanic,,,,,,,,Find automobile repair and maintenance service providers,,,Auto-tech,Delhi,,,Undisclosed,13.0,2016.0,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa",Pawan Munjal,Series B,,,,,,,,,,,,,,
,,Milk Mantra,,,,,,,,Produces Dairy Products,,,Food,Odisha,,,"$10,000,000",14.0,2009.0,Srikumar Misra,US International Development Finance Corporation,,,,,,,,,,,,,,,
,,Myglamm,,,,,,,,On-demand beauty services provider,,,Beauty,Mumbai,,,"$4,327,000",15.0,2015.0,Darpan Sanghvi,"Tano India, L’Occitane, Bessemer",,,,,,,,,,,,,,,
,,Drishti Technologies,,,,,,,,"AI-based video analytics, data, and insights bring benefits to manufacturers",,,AI,Bangalore,,,"$25,000,000",16.0,,Prasad Akella,Sozo Ventures,Series B,,,,,,,,,,,,,,
,,Instasolv,,,,,,,,It is a doubt-solving app for students from Class 6 to 12,,,Edtech,Noida,,,"$2,000,000",17.0,2019.0,"Aditya Singhal, Nishant Sinha, Bahul Arora",Undisclosed,Pre series A,,,,,,,,,,,,,,
,,GoldenPi,,,,,,,,An online aggregator of bonds and debentures available in the secondary market,,,Fintech,Bangalore,,,"$459,000",18.0,2017.0,"Abhijit Roy, Samir Pratihar",Rainmatter Capital,,,,,,,,,,,,,,,
,,Sarva,,,,,,,,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,,,Yoga & wellness,Mumbai,,,Undisclosed,19.0,,Sarvesh Shashi,Shikhar Dhawan,,,,,,,,,,,,,,,
,,Jai Kisan,,,,,,,,A platform that caters the need of customers in rural areas,,,Fintech,Mumbai,,,"$3,937,000",20.0,2017.0,"Arjun Ahluwalia, Adriel Maniego","Arkam Ventures, Nabventures",Pre series A,,,,,,,,,,,,,,
,,Agro2o,,,,,,,,It develops products focused on making hydroponics-based farming,,,Agritech,New Delhi,,,Undisclosed,21.0,,Yash Vyas,Mumbai Angels Network,,,,,,,,,,,,,,,
,,GabbarDeals,,,,,,,,Online-to-Offline platforms for mobile phones & accessories,,,Ecommerce,Pune,,,Undisclosed,22.0,,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,,,,,,,,,,,,,,,
,,Crimson Healthcare,,,,,,,,It innovates cutting edge solutions for various problems in the healthcare system,,,Med Tech,Delhi,,,"$229,800",23.0,2015.0,"Pranav Chopra, Neeraj Kumar",Mumbai Angels Network,,,,,,,,,,,,,,,
,,Biomoneta,,,,,,,,It develops germicidal technologies,,,Life sciences,Bangalore,,,Undisclosed,24.0,,Dr Janani Venkatraman,"Beyond Next Ventures, ArthaVida Ventures, Dr Aniruddha Malpani",Seed Round,,,,,,,,,,,,,,
,,Edvizo,,,,,,,,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",,,Edtech,Bangalore,,,"$150,000",25.0,,Ravi Nishant,Inflection Point Ventures,Seed Round,,,,,,,,,,,,,,
,,Servify,,,,,,,,Operates device management and support platform,,,SaaS,Mumbai,,,"$11,370,000",26.0,,Sreevathsa Prabhakar,"Iron Pillar, Blume Ventures",Series C,,,,,,,,,,,,,,
,,Drum Food,,,,,,,,It runs yoghurt brand Epigamia,,,Food,Mumbai,,,"$5,305,000",27.0,,"Rohan Mirchandani, Ganesh Krishnamurthy, Rahul Jain,Uday Thakkar.","Danone Manifesto, Mousse Partners",,,,,,,,,,,,,,,
,,Innoviti,,,,,,,,Digital payments solutions company,,,SaaS,Bangalore,,,Undisclosed,28.0,2002.0,Rajeev Agrawal,"Entrepreneurial Development Bank, Bessemer Venture Partners",Series C,,,,,,,,,,,,,,
,,Jiffy ai,,,,,,,,Enterprise automation startup,,,AI,,,,"$18,000,000",29.0,2018.0,Babu Sivadasan,Nexus Venture Partners,Series A,,,,,,,,,,,,,,
,,Postman,,,,,,,,API development platform startup,,,Tech,,,,"$150,000,000",30.0,2014.0,"Abhijit Kane, Abhinav Asthana, Ankit Sobti",Insight Partners,Series C,,,,,,,,,,,,,,
,,Waycool,,,,,,,,Food development and distribution services,,,Agritech,Chennai,,,"$5,500,000",31.0,2015.0,"Karthick Jayraman, Sanjay Dasari",Induslnd Bank,Series C,,,,,,,,,,,,,,
,,Myelin Foundry,,,,,,,,"It builds AI based algorithms on video, voice and sensor",,,Deep Tech AI,,,,Undisclosed,32.0,2019.0,"Dr Gopichand Katragadda, Ganesh Suryanarayanan, Aditi Olemann.",Pratithi,,,,,,,,,,,,,,,
,,Hapramp,,,,,,,,Startup working on technologies like blockchain and social media,,,Blockchain,Gurugram,,,"$1,000,000",33.0,2018.0,"Shubhendra Vikram, Ankit Kumar",Anand Mahindra,,,,,,,,,,,,,,,
,,MyKaam,,,,,,,,Online job searching and recruiting platform,,,HrTech,Bangalore,,,Undisclosed,34.0,2016.0,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",,,,,,,,,,,,,,,
,,HealthPlix,,,,,,,,It provides clinical software for doctors,,,Healthtech,Bangalore,,,"$6,000,000",35.0,2016.0,"Raghuraj Sunder Raju, Prasad Basavaraj, Sandeep Gudibanda","JSW Ventures, Chiratae Ventures, Kalaari Capital",Series B,,,,,,,,,,,,,,
,,YoloBus,,,,,,,,Intercity bus service startup,,,Mobility/Transport,Gurugram,,,"$3,300,000",36.0,2019.0,"Shailesh Gupta, Mukul Shah",Nexus Venture Partners,Series A,,,,,,,,,,,,,,
,,iNurture Education,,,,,,,,"It provides a conducive and healthy teaching, learning environment",,,Edtech,,,,"$4,000,000",37.0,,Ashwin Ajila,Kimera Ltd,,,,,,,,,,,,,,,
,,Pocket52,,,,,,,,An online poker playing platform,,,Gaming,Bangalore,,,"$1,750,000",38.0,2017.0,Nitesh Salvi,Gameskraft,Series A,,,,,,,,,,,,,,
,,QuaQua,,,,,,,,Virtual travel guide platform,,,Travel,Hyderabad,,,"$1,000,000",39.0,2016.0,"Purav Shah, Sandesh Reddy",Anthill Ventures,,,,,,,,,,,,,,,
,,Crofarm,,,,,,,,Supply chain that supports farmers and provides businesses with freshest produce,,,Agritech,Delhi,,,"$1,000,000",40.0,2016.0,"Prashant Jain, Varun Khurana",Smile group,,,,,,,,,,,,,,,
,,Timios,,,,,,,,Provides healthy snacks for kids,,,Foodtech,Bangalore,,,Undisclosed,41.0,,Aswani Chaitanya,Rangsons Technologies,Pre series A,,,,,,,,,,,,,,
,,Wooden Street,,,,,,,,It enables to order custom furniture online,,,Ecommerce,Jaipur,,,"$3,000,000",42.0,2015.0,"Lokendra Ranawat, Dinesh Pratap Singh, Virendra Ranawat, Vikas Baheti",IAN Fund,Series A,,,,,,,,,,,,,,
,,BankBazaar,,,,,,,,Online marketplace that gives customers instant customised offers on loans and credit cards,,,Fintech,Chennai,,,"$5,967,000",43.0,2008.0,"Adhil Shetty, Arjun Shetty, Rati Shetty,",WSV Capital,Series D1,,,,,,,,,,,,,,
,,Rentmojo,,,,,,,,"Rental platform for furniture, appliances & electronics",,,Rental,Bangalore,,,"$2,980,000",44.0,2012.0,Geetansh Bamania,"Gautam Dalmia, Pratithi Investment Trust, Shri Investment",,,,,,,,,,,,,,,
,,Credgencies,,,,,,,,Tech-enabled platform for resolution of non-performing assets,,,AI & Debt,,,,Undiclsosed,45.0,2018.0,"Rishabh Goel, Anand Agrawal, Mayank Khera",Titan Capital,Seed round,,,,,,,,,,,,,,
,,Knorish,,,,,,,,All-in-one knowledge commerce SaaS platform,,,SaaS/Edtech,Delhi,,,"$323,000",46.0,,"Kinner N Sacchdev, Rakhi Wadhwa",100x VC,Pre series A,,,,,,,,,,,,,,
,,LetsTransport,,,,,,,,Offers techno logistics solutions,,,Logitech,Bangalore,,,"$1,326,000",47.0,2015.0,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Black Soil,,,,,,,,,,,,,,,
,,Vahak,,,,,,,,It enables logistic companies to conncet with transporters,,,Transport,,,,Undisclosed,48.0,2017.0,"Karan Shaha, Vikas Chandrawat","Leo Capaitals, Amit Gupta, Abhishek Goyal, Ramakant Sharma, Harsh Pokhran",Seed round,,,,,,,,,,,,,,
,,Nutrova,,,,,,,,"Nutraceutical company developing evidence-based nutrition and nutraceutical products,",,,Nutrition,Mumbai,,,Undisclosed,49.0,2013.0,Akshay Pai,DSG Consumer Partners,Pre series A,,,,,,,,,,,,,,
,,Cube Wealth,,,,,,,,A digital wealth management services,,,SaaS,Mumbai,,,"$500,000",50.0,2018.0,"Satyen Kothari, Beenext, Asuka Holding","Beenext, Asuka Holding",Mid series,,,,,,,,,,,,,,
,,SaScan,,,,,,,,Cancer diagnostics startup,,,Healthcare,Bangalore,,,Undisclosed,0.0,,Subhash Narayanan,Unicorn India ventures,,,,,,,,,,,,,,,
,,Lido Learning,,,,,,,,Online teaching service,,,Edtech,Mumbai,,,"$3,000,000",1.0,,Sahil Sheth,"Pecus Capital, Madhur Deora",,,,,,,,,,,,,,,
,,Nimesa,,,,,,,,Cloud data managemnt solutions enterprise,,,SaaS,Bangalore,,,Undisclosed,2.0,2018.0,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,,,,,,,,,,,,,,,
,,Design X,,,,,,,,Builds IoT based products,,,IoT,Noida,,,"$200,000",3.0,,Preet Arjun Singh,ThinkNext LLC,Seed Round,,,,,,,,,,,,,,
,,Driftly Electric,,,,,,,,Electric vehicle startup,,,Automobile,Bangalore,,,Undisclosed,4.0,,Sneha Roy,MG Motor India,,,,,,,,,,,,,,,
,,Imstrong,,,,,,,,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,,,Fitness,Bangalore,,,"$400,000",5.0,2019.0,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,Seed round,,,,,,,,,,,,,,
,,Craftsvilla,,,,,,,,Online marketplace for ethnic wear,,,Marketplace,Mumbai,,,"$3,900,000",6.0,,Monica Gupta. Manoj Gupta,Supera Investments,,,,,,,,,,,,,,,
,,Rupifi,,,,,,,,Offers financial products for SMEs,,,Fintech,Bangalore,,,Undisclosed,7.0,2020.0,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",Pre seed round,,,,,,,,,,,,,,
,,SnackAmor,,,,,,,,It offers various healthy snacks,,,Food,Mumbai,,,Undisclosed,8.0,,Deepak Grover,Undisclosed,Seed round,,,,,,,,,,,,,,
,,CoinDCX,,,,,,,,A cryptocurrency trading platform,,,Fintech,,,,"$3,000,000",9.0,,Sumit Gupta,"Polychain Capital, Bain Capital Ventures, HDR Group",Series A,,,,,,,,,,,,,,
,,NuNu TV,,,,,,,,Kids-focussed Youtube channel,,,Media,,,,"$670,000",10.0,,,Risers Accelerators,,,,,,,,,,,,,,,
,,Excess2Sell,,,,,,,,B2B Marketplace for Overstock & Surplus Inventory,,,Ecommerce,Mumbai,,,"$1,000,000",11.0,,Rajan Sharma,Gautham Madhavan,,,,,,,,,,,,,,,
,,Pitstop,,,,,,,,Doorstep car service,,,Automobile,Bangalore,,,"$2,500,000",12.0,,Mihir Mohan mishra,TPG-backed Group Landmark,Series A,,,,,,,,,,,,,,
,,Univariety,,,,,,,,Online marketplace that provides career counselling and college guidance,,,Edtech,Hyderabad,,,"$1,100,000",13.0,2015.0,Jaideep Gupta,Info Edge,,,,,,,,,,,,,,,
,,Peel Works,,,,,,,,E-commerce for corner/retail stores.,,,SaaS,Mumbai,,,"42.23,000",14.0,2010.0,"Sachin Chhabra, Nidhi Ramachandran",CESC Ventures,"Series C, D",,,,,,,,,,,,,,
,,Vivriti Capital,,,,,,,,Digital lending startup,,,Fintech,Chennai,,,"$50,000,000",15.0,2017.0,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,Series B,,,,,,,,,,,,,,
,,Agnikul,,,,,,,,"It designs, fabricates, tests and launch orbital class launch vehicles",,,Spacetech,Chennai,,,"$3,148,000",16.0,,Srinath Ravichandran,pi Ventures,Pre Series A,,,,,,,,,,,,,,
,,Khatabook,,,,,,,,It helps SMEs to maintain their accounts and ledger online.,,,Fintech,Bangalore,,,Undisclosed,17.0,,Ravish Naresh,Mahendra Singh Dhoni,,,,,,,,,,,,,,,
,,Smart Coin,,,,,,,,Consumer lending startup,,,Fintech,,,,"$7,000,000",18.0,2015.0,"Amit Chandel, Rohit Garg, Vinay Kumar, Jayant Upadhyay",LGT LightstoneAspada,Series A,,,,,,,,,,,,,,
,,ZunRoof,,,,,,,,"It specialises in solar rooftop design, installation, and management using technology",,,Cleantech,Gurugram,,,"$3,000,000",19.0,2016.0,"Pranesh Chaudhary, Sushant Sachan",Godrej Investments,Series A,,,,,,,,,,,,,,
,,Shop101,,,,,,,,Enables entrepreneurs to sell online,,,Social e-commerce,,,,"$3,900,000",20.0,2015.0,"Abhinav Jain, Aditya Gupta","Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",Series C,,,,,,,,,,,,,,
,,Lal10,,,,,,,,It helps Indian artisans and SMEs reach out to global retailers,,,B2B,Uttar Pradesh,,,"$1,100,000",21.0,2016.0,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,,,,,,,,,,,,,,,
,,Anaxee Digital Runner,,,,,,,,A tech-enabled ID verification and data collection startup,,,Tech,Indore,,,Undisclosed,22.0,2016.0,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,,,,,,,,,,,,,,,
,,CollegeKhabri,,,,,,,,Platform is an end-to-end college and career counselling platform for students,,,Edtech,Bhopal,,,Undisclosed,23.0,2019.0,Arshi Khan,Vishal Dixit,,,,,,,,,,,,,,,
,,Multi Living,,,,,,,,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",,,Real Estate,Mumbai,,,"$6,000,000",24.0,,Pankaj Singh,Lodha Ventures,,,,,,,,,,,,,,,
,,FamPay,,,,,,,,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",,,Fintech,Bangalore,,,"$4,700,000",25.0,,Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",Seed Round,,,,,,,,,,,,,,
,,UnboxRobotics Labs,,,,,,,,Automated flexible parcel sorting solutions for logistics providers,,,Automation tech,Bangalore,,,"$500,000",26.0,,Pramod Ghadge,"Arali Ventures, CIIE.CO",Seed Round,,,,,,,,,,,,,,
,,Karbon Card,,,,,,,,Specialisde corporate cards for startups,,,Fintech,Bangalore,,,"$2,000,000",27.0,,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",Seed Round,,,,,,,,,,,,,,
,,Innerchef,,,,,,,,Cloud kitchen platform,,,Foodtech,Gurgaon,,,"$1,000,000",28.0,,Rajesh,Mistletoe,,,,,,,,,,,,,,,
,,Epigamia,,,,,,,,Flavoured and greek yoghurt brand,,,FMCG,Mumbai,,,"25,58,000",29.0,2015.0,Rohan Mirchandani,KA Enterprise,Series C,,,,,,,,,,,,,,
,,StyleNook,,,,,,,,Marketplace for fashionable apparel,,,Ecommerce,Mumbai,,,Undisclosed,30.0,,Lathika Pai,"Lead Angels Network, Stanford Angels",,,,,,,,,,,,,,,
,,Callido Learning,,,,,,,,Provides a structured educational approach to critical thinking and problem solving skills,,,Edtech,Mumbai,,,Undisclosed,31.0,,Sriram Subramanian,Education Catalyst Fund,,,,,,,,,,,,,,,
,,Soxytoes,,,,,,,,Online store to buy various types of socks including funky and colorful socks,,,Ecommerce,Delhi,,,Undisclosed,32.0,,"Vidushi Kajaria, Aayush Goenka",Angel network,,,,,,,,,,,,,,,
,,F5,,,,,,,,Retail Aggregator,,,E-market,Delhi,,,Undisclosed,33.0,2018.0,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,Seed Round,,,,,,,,,,,,,,
,,Paper Boat,,,,,,,,Ecommerce platform for beverages and snacks,,,Food & Beverages,Bangalore,,,"$4,049,500",34.0,2013.0,"Neeraj Kakkar, James Nutall, Suhas Misra, Neeraj Biyani","Advent Management, A91 Emerging Fund, Trifecta Venture",,,,,,,,,,,,,,,
,,Salesken,,,,,,,,Provides sales professionals with intelligence on various aspects of the sales pitch,,,AI & Data science,Bangalore,,,"$8,000,000",35.0,,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,Series A,,,,,,,,,,,,,,
,,Arya,,,,,,,,Provides post-harvest services across the agricultural value chain,,,Agritech,Noida,,,"$6,000,000",36.0,,Prasanna Rao,LGT Lightstone Aspada,Series B,,,,,,,,,,,,,,
,,Leap Finance,,,,,,,,Provides education loans to students based on the student’s future income,,,Fintech,Bangalore,,,"$5,500,000",37.0,,"Vaibhav Singh, Arnav Kumar",Sequoia India,,,,,,,,,,,,,,,
,,Sleepy Owl,,,,,,,,"It sells ready to drink cold brew coffees, brew boxes and packs.",,,Beverages,Delhi,,,Undisclosed,38.0,2016.0,"Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,,,,,,,,,,,,,,,
,,Tricog,,,,,,,,Provides virtual cardiology services through its AI-powered healthcare platforms,,,Healthtech,Bangalore,,,"$10,500,000",39.0,2015.0,"Charit Bhograj, Zainul Charbiwala, Udayan Dasgupta, Abhinav Gujjar","UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",Series B,,,,,,,,,,,,,,
,,GogoBus,,,,,,,,Inter-City Mobility Startup,,,Travel tech,Delhi,,,Undisclosed,40.0,,Amit Gupta,Ixigo,,,,,,,,,,,,,,,
,,Trell,,,,,,,,Allows users to share their travel experiences,,,Social e-commerce,Bangalore,,,"$4,000,000",41.0,2016.0,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",Pre series A,,,,,,,,,,,,,,
,,Spaciya Consultants,,,,,,,,Real estate consultancy firms,,,Real Estate,Noida,,,"$500,000",42.0,,Ajit Panda,Alok Garg,Pre series A,,,,,,,,,,,,,,
,,Bounce,,,,,,,,Offers a variety of bikes and scooters that can be rented on a subscription basis,,,Automotive and Rentals,Bangalore,,,"$6,500,000",43.0,2014.0,"Vivekananda Hallekere, Anil Giri Raju, Arun Agni",InnoVen Capital,,,,,,,,,,,,,,,
,,Neeman,,,,,,,,An eco-conscious footwear brand making comfortable shoes using Merino Wool,,,Ecommerce,,,,"$1,000,000",44.0,2017.0,"Taran Chhabra, Amar Preet Singh",Anicut Angel Fund,Pre series A,,,,,,,,,,,,,,
,,Chqbook,,,,,,,,"Marketplace for small business owners, offering them products around lending, credit cards etc",,,Fintech,Gurugram,,,"$5,000,000",45.0,2017.0,"Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,Series A,,,,,,,,,,,,,,
,,SMEcorner,,,,,,,,Financial lending firm to SMEs,,,Fintech,Mumbai,,,"$30,000,000",46.0,2014.0,"Bhatia, Sneha Shah",Paragon Partners,Series B,,,,,,,,,,,,,,
,,Oda Class,,,,,,,,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni",,,Edtech,Bangalore,,,Undisclosed,47.0,,"Li Yong, Shushant Srivastava",Yuanfudao,Pre Series A,,,,,,,,,,,,,,
,,Spinny,,,,,,,,Used car retailing platform,,,E-tail,Haryana,,,"$43,700,000",48.0,2015.0,"Niraj Singh, Mohit Gupta, Ramanshu Mahuar","Nandan Nilekani, Sanjeev Aggarwal",Series B,,,,,,,,,,,,,,
,,goStops,,,,,,,,A premium chain of youth hostels catering to the millennials,,,Accomodation,Delhi,,,Undisclosed,49.0,2012.0,"Pallavi Agarwal, Pankaj Parwanda",Atraxn Partners.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.0,,,,,Ola Financial Services,,Bangalore,Fintech,It operates Ola Money,Bhavish Aggarwal,Matrix Partners,"$27,000,000",Series A,,,,,
,,,,,,,,,,,,,,,,,,3.0,,,,,Awifs,2015.0,Delhi,Co-working,Provides office space solutions,Amit Ramani,"Bisque Limited, Link Investment Trust.","$5,200,000",,,,,,
,,,,,,,,,,,,,,,,,,5.0,,,,,Swiflearn,2019.0,Gurugram,Edtech,Learning platform for K-10 students looking for personalised learning,"Abhinav Agarwal, Anand Bakode","Stellaris Venture Partners, Venture Highway",Undisclosed,Seed Round,,,,,
,,,,,,,,,,,,,,,,,,7.0,,,,,Blowhorn,2014.0,Bangalore,Logistics,Tech platform that connects logistics service seekers with mini-truck drivers,"Mithun Srivatsa, Nikhil Shivaprasad",Trifecta Capital,Undisclosed,,,,,,
,,,,,,,,,,,,,,,,,,8.0,,,,,Toch,,Mumbai,AI,"Helps online video creators, media companies, advertisers, and OTT platforms optimise their videos","Vinayak Srivastav, Saket Dandotia, Alok Patil","Chinaccelerator, 9 Unicorns Fund, Inflection Point Ventures","$1,000,000",Pre series A,,,,,
,,,,,,,,,,,,,,,,,,9.0,,,,,Gram Cover,,Noida,Insurtech,It provides insurance products in rural areas,Jatin Singh,"EMVC, Flourish, Omidyar Network India",Undisclosed,Pre series A,,,,,
,,,,,,,,,,,,,,,,,,11.0,,,,,HomeCapital,,Mumbai,Fintech,Home Down Payment Assistance Program,Lalit Menghani,Varanium NexGen Fund,Undisclosed,,,,,,
,,,,,,,,,,,,,,,,,,14.0,,,,,NWNT (No Worry No Tension Healthcare),,Delhi,Healthtech,Mental healthtech startup,Sandeep Vohra,Amit Burman,Undisclosed,Pre Series A,,,,,
,,,,,,,,,,,,,,,,,,15.0,,,,,Voicezen,,Gurugram,AI,Conversational AI startup,Anurba Nath,Bharti Airtel,Undisclosed,,,,,,
,,,,,,,,,,,,,,,,,,16.0,,,,,Leap Club,,Gurugram,,Community led professional network for women,"Ragini Das, Anand Sinha","Whiteboard Capital, FirstCheque, Artha India Ventures, Sweta Rau, Deepak Abbot, Amrish Rau, Harpreet Singh Grover","$340,000",Pre seed round,,,,,
,,,,,,,,,,,,,,,,,,18.0,,,,,Xtracap,,Gurugram,Fintech,"Offers online payment solution,schemes, order management, insurance etc.,",Mohammed Riaz,Angel Investors,"$1,000,000",,,,,,
